station,station_coor,distance,near
60,"[25.064317, 121.533487]",3677.032403976819,False
61,"[25.0131, 121.539723]",3003.1865886849973,False
62,"[25.026827, 121.520258]",3565.0113977259207,False
63,"[25.037569, 121.545632]",832.3754281332691,True
64,"[25.037773, 121.517029]",3711.7971001651335,False
65,"[25.022725, 121.502708]",5388.4894791100905,False
66,"[25.007528, 121.537188]",3670.4540056618835,False
67,"[25.042973, 121.516428]",3831.3535731020047,False
68,"[25.025865, 121.506536]",4922.570920619689,False
69,"[24.999837, 121.547778]",4164.073702560137,False
70,"[25.032752, 121.561645]",908.7484391418966,True
71,"[25.032985, 121.554204]",434.25449915071465,True
72,"[25.048611, 121.529346]",2792.9219779291675,False
73,"[25.072228, 121.510195]",5898.840748542953,False
74,"[25.033817, 121.530547]",2373.145144673256,False
75,"[25.0300508, 121.557635]",849.1271828924403,True
76,"[25.056387, 121.527522]",3427.108217061815,False
77,"[25.059147, 121.56297]",2640.8528159323178,False
78,"[25.071824, 121.519287]",5217.999128858336,False
79,"[25.061285, 121.520205]",4342.671406178734,False
80,"[25.02751, 121.495869]",5934.626940038233,False
81,"[25.020547, 121.528552]",3130.2856824639803,False
82,"[25.041778, 121.508693]",4582.715897130237,False
83,"[25.033344, 121.534236]",2015.630321057048,False
84,"[25.029705, 121.502899]",5195.75609245126,False
85,"[25.033362, 121.54911]",617.8435834954449,True
86,"[25.062344, 121.545138]",2964.8533451311714,False
87,"[25.033078, 121.543057]",1167.4048069984128,False
88,"[25.032922, 121.57087]",1769.3938083223723,False
89,"[25.027323, 121.516385]",3922.1443611503423,False
90,"[25.037783, 121.501708]",5254.958358364484,False
91,"[25.070629, 121.523268]",4855.958052090043,False
92,"[25.046618, 121.507169]",4826.732193037648,False
93,"[25.023877, 121.569836]",2163.5773466837477,False
94,"[24.993254, 121.541059]",5019.285118229754,False
95,"[25.023393, 121.497679]",5855.472455182675,False
96,"[25.061567, 121.566558]",3028.7430414978817,False
97,"[25.082825, 121.524721]",5892.111863036524,False
98,"[24.999378, 121.540197]",4391.141866565294,False
99,"[25.057866, 121.520711]",4073.9497023721897,False
100,"[25.045753, 121.530697]",2533.500090955974,False
101,"[25.043668, 121.528487]",2665.234485929578,False
102,"[25.02043, 121.525322]",3407.574270391314,False
103,"[25.033639, 121.503028]",5133.743476280739,False
104,"[25.004023, 121.54074]",3885.0735181645073,False
105,"[25.044412, 121.505409]",4952.375018366776,False
106,"[25.032932, 121.497674]",5677.494997860658,False
107,"[25.036402, 121.509422]",4477.176029429173,False
108,"[25.073306, 121.515843]",5574.213437506791,False
109,"[25.071606, 121.530805]",4506.090674862068,False
110,"[25.086376, 121.560888]",5549.3018049324,False
111,"[25.040184, 121.543497]",1106.7449633713516,False
112,"[25.137456, 121.503124]",12295.59177271442,False
113,"[25.037724, 121.561178]",743.3607907841734,True
114,"[25.109908, 121.530386]",8457.713044413995,False
115,"[25.048222, 121.520526]",3587.1162203819167,False
116,"[25.096122, 121.530215]",7004.892802655467,False
117,"[25.132581, 121.498618]",12008.105485635062,False
118,"[25.136929, 121.499152]",12414.581187586014,False
119,"[25.08418, 121.555116]",5261.288860564775,False
120,"[25.035479, 121.50026]",5402.165114241502,False
121,"[25.05298, 121.540568]",2235.737276806329,False
122,"[25.079666, 121.57584]",5247.798241065513,False
123,"[25.116325, 121.534136]",9054.689445444972,False
124,"[25.115863, 121.518163]",9490.062543543912,False
125,"[25.038609, 121.498495]",5580.993897949163,False
126,"[25.022073, 121.548336]",1737.7162069044296,False
127,"[25.073277, 121.619521]",7754.348257268094,False
