station,station_coor,distance
141,"[24.989902, 121.569984]",10754.653112532851
142,"[24.997996, 121.57444]",9886.214178379965
143,"[24.997659, 121.578752]",9972.3055590854
144,"[24.988363, 121.576536]",10972.710907690589
145,"[25.066688, 121.516149]",5439.117102255605
146,"[25.092546, 121.526556]",3979.2141575223773
147,"[25.089175, 121.521814]",4410.064105373281
148,"[25.110331, 121.518316]",5439.083269881647
149,"[25.116665, 121.509621]",6549.287755107881
150,"[25.036568, 121.57343]",5613.169494906551
151,"[24.987507, 121.549827]",11124.274425853266
152,"[25.08521, 121.519175]",4668.453514195466
153,"[25.059885, 121.516299]",5774.651923463376
154,"[25.093396, 121.519867]",4659.151069313007
155,"[25.076193, 121.57505]",1498.6521733223021
156,"[25.06853, 121.61538]",5407.016641590054
157,"[25.082703, 121.571467]",735.9773320573183
158,"[25.067026, 121.61355]",5302.482503571735
159,"[25.082866, 121.566695]",425.19434217207584
161,"[25.131143, 121.503768]",7952.847518541813
162,"[25.062924, 121.52772]",4623.691496196704
163,"[25.018097, 121.559279]",7635.891332814907
164,"[25.126286, 121.500801]",7873.183895173772
165,"[25.120788, 121.505693]",7126.153866425116
166,"[24.980602, 121.556177]",11816.774429242836
167,"[25.095714, 121.518046]",4887.3591170845375
168,"[25.02288, 121.522855]",8280.219335335003
169,"[25.030015, 121.509813]",8424.579123999201
170,"[25.059245, 121.568883]",3053.5770071872907
171,"[24.996842, 121.559651]",9990.9514892508
172,"[25.051562, 121.562891]",3897.8494833343407
173,"[25.052181, 121.533211]",5017.512095320619
174,"[25.051702, 121.553057]",4071.338354562762
175,"[25.051618, 121.544847]",4405.246389074353
176,"[25.055997, 121.542318]",4121.531807320375
177,"[25.082538, 121.507495]",5859.3262053885965
178,"[25.078908, 121.510306]",5623.762099849704
179,"[25.041355, 121.59073]",5629.645490218018
180,"[25.06877, 121.592654]",3372.9037319968497
181,"[25.02585, 121.537383]",7318.590471588014
182,"[25.0253, 121.523537]",8014.9288317599385
183,"[25.05379, 121.514179]",6323.46546231796
184,"[25.084759, 121.537892]",2788.220012210459
185,"[25.042342, 121.54605]",5290.585436422825
186,"[25.035414, 121.514218]",7681.466934894022
187,"[25.037465, 121.555769]",5543.932122673259
188,"[25.090293, 121.50189]",6420.306542198744
189,"[25.087987, 121.58781]",2251.6142836612785
190,"[25.079278, 121.546683]",2060.56155497585
191,"[25.083873, 121.60206]",3692.8256905907506
192,"[25.072485, 121.607955]",4551.371524251124
193,"[25.041277, 121.61935]",7398.423393245552
194,"[25.047958, 121.524388]",5962.84528092707
195,"[25.035851, 121.523987]",7018.234823494102
196,"[25.068744, 121.589233]",3102.060194793102
197,"[25.049845, 121.571885]",4130.075772187594
201,"[25.057164, 121.597924]",4617.9548687365195
202,"[25.124646, 121.467336]",10755.081191114004
203,"[25.024487, 121.51057]",8844.737866705316
204,"[25.113625, 121.53742]",4131.957865658262
205,"[24.988241, 121.55561]",10975.297999475153
206,"[25.005386, 121.55716]",9062.57023305612
207,"[25.103242, 121.487477]",8074.328400744701
208,"[25.035555, 121.495342]",9060.228132812328
209,"[25.137837, 121.486071]",9824.020793991947
210,"[25.079766, 121.558135]",1057.434105127423
211,"[25.080915, 121.597339]",3265.9016164202335
212,"[25.084223, 121.549452]",1637.3713578218149
213,"[25.107782, 121.523107]",4879.755000391453
214,"[25.055935, 121.578645]",3650.8289307383434
215,"[25.04993, 121.510367]",6885.810870852875
216,"[25.082553, 121.544601]",2151.6620692194388
217,"[25.062645, 121.574267]",2799.1576078032745
218,"[25.043299, 121.564108]",4809.7944226912
219,"[25.031147, 121.49074]",9729.048008198617
220,"[25.059162, 121.510512]",6320.359496196838
221,"[25.019276, 121.57107]",7499.909144144716
222,"[25.064108, 121.522065]",5036.272252347564
223,"[25.1274, 121.507267]",7418.702327887469
224,"[25.088243, 121.510535]",5539.411859437173
225,"[25.0186, 121.554839]",7630.209472747188
226,"[25.054365, 121.594228]",4600.378923262501
227,"[25.084244, 121.57668]",1153.4988367245587
228,"[24.998811, 121.56789]",9757.512547461904
229,"[25.049394, 121.514611]",6583.145577733522
230,"[25.075366, 121.580811]",1979.2799639174634
231,"[25.047805, 121.545022]",4775.506069454902
232,"[25.118843, 121.529738]",5087.110821843013
233,"[25.131411, 121.474155]",10464.48886076942
234,"[25.124162, 121.526071]",5768.315302194465
235,"[25.04846, 121.565928]",4234.057234689104
236,"[25.119292, 121.469138]",10364.864983834024
