,category,name,address,latitude,longtitude
25,hospital,b'\xe5\x9c\x8b\xe7\xab\x8b\xe8\x87\xba\xe7\x81\xa3\xe5\xa4\xa7\xe5\xad\xb8\xe9\x86\xab\xe5\xad\xb8\xe9\x99\xa2\xe9\x99\x84\xe8\xa8\xad\xe9\x86\xab\xe9\x99\xa2\xe5\x8c\x97\xe8\xad\xb7\xe5\x88\x86\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe8\x90\xac\xe8\x8f\xaf\xe5\x8d\x80\xe5\x85\xa7\xe6\xb1\x9f\xe8\xa1\x9787\xe8\x99\x9f',25.0417582,121.5035772
26,hospital,b'\xe8\x87\xba\xe5\x8c\x97\xe9\x86\xab\xe5\xad\xb8\xe5\xa4\xa7\xe5\xad\xb8\xe9\x99\x84\xe8\xa8\xad\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe4\xbf\xa1\xe7\xbe\xa9\xe5\x8d\x80\xe5\x90\xb3\xe8\x88\x88\xe8\xa1\x97252\xe8\x99\x9f',25.0269556,121.563012
27,hospital,b'\xe6\x96\xb0\xe5\x85\x89\xe9\x86\xab\xe7\x99\x82\xe8\xb2\xa1\xe5\x9c\x98\xe6\xb3\x95\xe4\xba\xba\xe6\x96\xb0\xe5\x85\x89\xe5\x90\xb3\xe7\x81\xab\xe7\x8d\x85\xe7\xb4\x80\xe5\xbf\xb5\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\xa3\xab\xe6\x9e\x97\xe5\x8d\x80\xe6\x96\x87\xe6\x98\x8c\xe8\xb7\xaf95\xe8\x99\x9f',25.0962811,121.5209845
28,hospital,b'\xe4\xb8\x89\xe8\xbb\x8d\xe7\xb8\xbd\xe9\x86\xab\xe9\x99\xa2\xe5\x8c\x97\xe6\x8a\x95\xe5\x88\x86\xe9\x99\xa2\xe9\x99\x84\xe8\xa8\xad\xe6\xb0\x91\xe7\x9c\xbe\xe8\xa8\xba\xe7\x99\x82\xe6\x9c\x8d\xe5\x8b\x99\xe8\x99\x95',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\x8c\x97\xe6\x8a\x95\xe5\x8d\x80\xe6\x96\xb0\xe6\xb0\x91\xe8\xb7\xaf60\xe8\x99\x9f',25.1395917,121.5097658
29,hospital,b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\x8c\x97\xe6\x8a\x95\xe5\x81\xa5\xe5\xba\xb7\xe7\xae\xa1\xe7\x90\x86\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\x8c\x97\xe6\x8a\x95\xe5\x8d\x80\xe4\xb8\xad\xe5\x92\x8c\xe8\xa1\x972\xe8\x99\x9f',25.137558,121.503699
30,hospital,b'\xe9\x86\xab\xe7\x99\x82\xe8\xb2\xa1\xe5\x9c\x98\xe6\xb3\x95\xe4\xba\xba\xe8\xbe\x9c\xe5\x85\xac\xe4\xba\xae\xe5\x9f\xba\xe9\x87\x91\xe6\x9c\x83\xe5\x92\x8c\xe4\xbf\xa1\xe6\xb2\xbb\xe7\x99\x8c\xe4\xb8\xad\xe5\xbf\x83\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\x8c\x97\xe6\x8a\x95\xe5\x8d\x80\xe7\xab\x8b\xe5\xbe\xb7\xe8\xb7\xaf125\xe8\x99\x9f',25.1283783,121.4720764
31,hospital,b'\xe6\x8c\xaf\xe8\x88\x88\xe9\x86\xab\xe7\x99\x82\xe8\xb2\xa1\xe5\x9c\x98\xe6\xb3\x95\xe4\xba\xba\xe6\x8c\xaf\xe8\x88\x88\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\x8c\x97\xe6\x8a\x95\xe5\x8d\x80\xe6\x8c\xaf\xe8\x88\x88\xe8\xa1\x9745\xe8\x99\x9f',25.1173845,121.5225928
32,hospital,b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe7\xab\x8b\xe9\x97\x9c\xe6\xb8\xa1\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\x8c\x97\xe6\x8a\x95\xe5\x8d\x80\xe7\x9f\xa5\xe8\xa1\x8c\xe8\xb7\xaf225\xe5\xb7\xb712\xe8\x99\x9f',25.1203578,121.4661369
33,hospital,b'\xe8\x87\xba\xe5\x8c\x97\xe6\xa6\xae\xe6\xb0\x91\xe7\xb8\xbd\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\x8c\x97\xe6\x8a\x95\xe5\x8d\x80\xe7\x9f\xb3\xe7\x89\x8c\xe8\xb7\xaf\xe4\xba\x8c\xe6\xae\xb5201\xe8\x99\x9f',25.1218376,121.5221438
34,hospital,b'\xe4\xb8\xad\xe5\x9c\x8b\xe9\x86\xab\xe8\x97\xa5\xe5\xa4\xa7\xe5\xad\xb8\xe9\x99\x84\xe8\xa8\xad\xe9\x86\xab\xe9\x99\xa2\xe8\x87\xba\xe5\x8c\x97\xe5\x88\x86\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\x85\xa7\xe6\xb9\x96\xe5\x8d\x80\xe5\x85\xa7\xe6\xb9\x96\xe8\xb7\xaf\xe4\xba\x8c\xe6\xae\xb5360\xe8\x99\x9f',25.082146,121.5907328
