,result/result_lasso.csv,result/result_ridge.csv,result/result_rf.csv,result_sarima.csv,avg
y_sbi_083,0.09171291677397189,0.09212396665390353,0.09522893887220703,0.15553100827808247,0.09095477401203893
y_sbi_084,0.0997837674518568,0.09952649780140144,0.10060209154755959,0.15464388046269584,0.09770927047204757
y_sbi_085,0.10709343215145983,0.1079627032197425,0.10602375754177,0.16109140427165428,0.10604372203344256
y_sbi_086,0.0777312442100539,0.07930097036383489,0.07746915931253683,0.1178851295009673,0.07716504329354995
y_sbi_087,0.11289225731350776,0.11346246532471888,0.1163506713327114,0.16253869131281448,0.11165210511357124
y_sbi_088,0.10155432973975209,0.10252124017332745,0.10249654186704048,0.16630837710644109,0.10046863286578825
y_sbi_089,0.08869399053290382,0.08930398627107806,0.0916306295089154,0.13998879659381522,0.08782568021031859
y_sbi_090,0.07723936381657522,0.07728529537214938,0.08002176093112051,0.12475063949340476,0.07686725000676375
y_sbi_091,0.10254781347766667,0.10312631090942681,0.10369055702568729,0.15658771977594968,0.10190971236167243
y_sbi_092,0.09506691464415629,0.09439420454067562,0.09658543218228441,0.14772338443905234,0.09416303882934972
y_sbi_093,0.10754694228767205,0.10842587379335568,0.10877729935687623,0.1629842512489171,0.10653044736725181
y_sbi_094,0.11536429413978609,0.11868273166605066,0.11964892840101081,0.16657022069840496,0.11636894492405679
y_sbi_095,0.10545565198724573,0.10500620076849973,0.10574576390746085,6.887918765307677,0.10364172919537831
y_sbi_096,0.09190434499998373,0.0911617674647103,0.09372978665515824,0.14571553871647705,0.090558008890346
y_sbi_097,0.1268702535228748,0.1294101035448301,0.13350325463529683,0.1790552543122872,0.12766802685804654
y_sbi_098,0.06387434715310662,0.06416490526975135,0.06623993066124782,0.10183945748079798,0.06390403389906277
y_sbi_100,0.09507205875625059,0.09492274269615852,0.09661558736269169,0.13547142901525108,0.09469802647126704
y_sbi_102,0.08524711565185485,0.08453239749355856,0.0864870105962071,0.13507101203128197,0.08446937988256688
y_sbi_103,0.06966918825900964,0.0692419934789604,0.07118212735487169,0.12618808276811103,0.06863728080741131
y_sbi_104,0.11507118739020632,0.1154631055761119,0.11528860594627612,0.16801345422258038,0.11373603427648112
y_sbi_105,0.09746911193727902,0.09750577700567364,0.09900690202501071,0.14770055647966082,0.0969202999230129
y_sbi_107,0.08800733241124241,0.08803807637285045,0.08834141066229419,0.1407443518024556,0.08641815302541692
y_sbi_108,0.11965246691864717,0.11946187026710378,0.12301475200796741,0.18004244403225447,0.11766274960931183
y_sbi_109,0.08919002388578733,0.08905050801264687,0.0897545489373645,0.14181829420704045,0.0886045939797985
y_sbi_110,0.10187513714559007,0.10330847128076102,0.10355960587336412,0.15017534650909223,0.10001881715749011
y_sbi_111,0.1079393200888967,0.10749864982226566,0.10995372548183933,0.17259459256619114,0.10585974298899609
y_sbi_112,0.09730914966705491,0.0973397752934954,0.09896277232583613,0.14661613046935595,0.096655796702612
y_sbi_113,0.0843924427294105,0.08261787613082104,0.08309299842653135,0.13878430901655905,0.08208993963389091
y_sbi_114,0.12861935466295307,0.12859767402272113,0.1305396053006374,0.1862684437117817,0.12799067979693285
y_sbi_115,0.09859871046445541,0.09844942835523132,0.09953535977931806,0.155418644035855,0.09723412689519739
y_sbi_116,0.0723367661207558,0.07330634917452358,0.07398479475158559,0.11302112078745062,0.07225858863332374
y_sbi_117,0.1089295197420995,0.10887316165897669,0.10922578522300833,0.16262812797942924,0.10768071239707686
y_sbi_118,0.109650442127972,0.10867080433765149,0.110010341630587,0.16477337872748227,0.1075444162642447
y_sbi_119,0.1110927696758389,0.11178333755951247,0.11291288650769037,0.17072347188096418,0.10940781877319407
