,result/result_lasso.csv,result/result_ridge.csv,result/result_rf.csv,result_sarima.csv,avg
y_sbi_057,4.23940611265692,4.265732931423504,4.307529918240461,6.367546878765991,4.2058310882846035
y_sbi_059,3.7176085144239206,3.715810951319414,3.784138535185141,5.590886937151833,3.6942108260146997
y_sbi_060,3.539654972291151,3.536774544156763,3.566426644183352,5.288587150453537,3.493756059920541
y_sbi_061,9.033519715980912,9.105188405127373,9.287757362344463,13.665924325861923,8.983682155932051
y_sbi_062,4.536515100981781,4.61861796710423,4.7412297406068165,6.475763602173127,4.576885066114475
y_sbi_063,4.2664526714928,4.275222415783071,4.268949503254207,6.372823958561524,4.213237000239207
y_sbi_064,4.970342691381934,4.9957884433189745,4.977215714555952,7.337141535967812,4.8736193654905495
y_sbi_065,4.425061241733961,4.409854021432005,4.342659319875327,6.454168998285306,4.312146731698966
y_sbi_066,4.096354188313672,4.085480823379047,4.1004675140514575,6.612959912261838,4.035001942543625
y_sbi_067,5.702999041282512,5.6724545866242515,5.740869054606767,7.97166769391944,5.611481512433694
y_sbi_068,3.9492126186542187,3.926897648041052,3.89674273295647,5.828371678600553,3.8589809250948983
y_sbi_070,6.378817681264374,6.48400969219166,6.596525185331663,9.538612952869746,6.3902043489825635
y_sbi_071,4.279840531589893,4.323305918768699,4.34742667560412,6.0583583408608055,4.254445717893123
y_sbi_072,3.211110516996824,3.214000057992362,3.2622060776481296,5.1543401161282425,3.1818263964083346
y_sbi_073,2.515841088393466,2.525574857072147,2.5109851788278346,4.19475450276473,2.475188150714839
y_sbi_074,3.9851547790331505,3.986202319489529,4.054655101120515,6.581942224772271,3.9513693968836394
y_sbi_075,3.6826315576957187,3.7153749241891565,3.756647558535437,5.426020476203564,3.661752294128004
y_sbi_076,3.37571327749537,3.354397767073434,3.434191539672613,5.461691490837118,3.324790192236167
y_sbi_077,3.271420305736415,3.2925434704182868,3.2959280602978436,5.06504420493038,3.238454980933165
y_sbi_078,6.391972680643121,6.413873918093356,6.454844476097006,9.561191403522603,6.298734133855663
y_sbi_079,4.038094767028007,4.036248337738831,4.076754858541358,,3.9970681138011535
y_sbi_080,3.9489083987829243,3.9541220045871817,4.040992074667543,6.076216361455471,3.9374611650948927
y_sbi_081,4.978564278120626,5.03116179755695,5.121342238883007,7.752347837931897,4.974128658371221
y_sbi_082,5.8138355548177385,5.873960845221031,5.9198717341902585,8.687684793854377,5.788688635609083
y_sbi_083,6.78675584127392,6.817173532388861,7.04694147654332,11.509294612578103,6.73065327689088
y_sbi_084,3.7917831631705585,3.7820069164532546,3.8228794788072644,5.876467457582442,3.7129522779378075
y_sbi_085,4.926297878967152,4.966284348108155,4.87709284692142,7.410204596496096,4.8780112135383575
y_sbi_086,2.79832479156194,2.854834933098056,2.7888897352513258,4.243864662034823,2.777941558567798
y_sbi_087,5.870397380302403,5.900048196885382,6.050234909300993,8.452011948266353,5.805909465905704
y_sbi_088,6.29636844386463,6.356316890746302,6.35478559575651,10.311119380599347,6.229055237678871
y_sbi_089,3.9025355834477677,3.929375395927435,4.0317476983922775,6.1595070501278695,3.864329929254018
y_sbi_090,3.3985320079293095,3.400552996374573,3.5209574809693023,5.489028137709809,3.382159000297605
y_sbi_091,3.6917212851960004,3.712547192739365,3.7328600529247424,5.637157911934189,3.6687496450202075
y_sbi_092,3.992810415054564,3.9645565907083764,4.056588151655945,6.204382146440198,3.9548476308326883
y_sbi_093,6.022628768109635,6.071848932427918,6.091528763985069,9.127118069939359,5.9657050525661015
