sno,ha_rmse,ma_rmse_12,ma_rmse_3,ma_rmse_6,sarima,Lasso ,Ridge ,Random Forest ,Adaboost ,XGBoost,tot
79.0,18.0,18.0,12.0,14.000000000000002,,8.0,8.0,8.0,8.0,8.0,50
80.0,15.909090909090908,15.909090909090908,13.636363636363635,13.636363636363635,13.636363636363635,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,44
81.0,25.0,22.5,17.5,20.0,20.0,12.5,12.5,12.5,12.5,12.5,40
82.0,20.0,18.333333333333332,13.333333333333334,15.0,15.0,10.0,10.0,10.0,10.0,10.0,60
83.0,24.324324324324326,21.62162162162162,16.216216216216218,20.27027027027027,16.216216216216218,9.45945945945946,9.45945945945946,9.45945945945946,9.45945945945946,10.81081081081081,74
84.0,21.052631578947366,23.684210526315788,15.789473684210526,18.421052631578945,15.789473684210526,10.526315789473683,10.526315789473683,10.526315789473683,10.526315789473683,10.526315789473683,38
85.0,19.565217391304348,17.391304347826086,13.043478260869565,15.217391304347828,15.217391304347828,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,46
86.0,19.444444444444446,16.666666666666664,11.11111111111111,13.88888888888889,11.11111111111111,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,36
87.0,17.307692307692307,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,11.538461538461538,11.538461538461538,11.538461538461538,11.538461538461538,11.538461538461538,52
88.0,24.193548387096776,22.58064516129032,16.129032258064516,20.967741935483872,16.129032258064516,9.67741935483871,9.67741935483871,9.67741935483871,9.67741935483871,11.29032258064516,62
89.0,22.727272727272727,25.0,13.636363636363635,20.454545454545457,13.636363636363635,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,44
90.0,20.454545454545457,20.454545454545457,11.363636363636363,15.909090909090908,11.363636363636363,6.8181818181818175,6.8181818181818175,6.8181818181818175,6.8181818181818175,9.090909090909092,44
91.0,19.444444444444446,16.666666666666664,13.88888888888889,13.88888888888889,16.666666666666664,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,36
92.0,19.047619047619047,21.428571428571427,14.285714285714285,16.666666666666664,14.285714285714285,9.523809523809524,9.523809523809524,9.523809523809524,9.523809523809524,9.523809523809524,42
93.0,23.214285714285715,26.785714285714285,16.071428571428573,21.428571428571427,16.071428571428573,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714,56
94.0,19.230769230769234,17.307692307692307,15.384615384615385,17.307692307692307,17.307692307692307,11.538461538461538,11.538461538461538,11.538461538461538,11.538461538461538,11.538461538461538,52
95.0,21.875,25.0,15.625,18.75,,9.375,9.375,9.375,9.375,12.5,32
96.0,23.333333333333332,23.333333333333332,13.333333333333334,20.0,13.333333333333334,10.0,10.0,10.0,10.0,10.0,30
97.0,17.307692307692307,19.230769230769234,15.384615384615385,17.307692307692307,17.307692307692307,13.461538461538462,13.461538461538462,13.461538461538462,13.461538461538462,13.461538461538462,52
98.0,19.047619047619047,14.285714285714285,9.523809523809524,11.904761904761903,9.523809523809524,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,42
100.0,20.0,17.5,12.5,15.0,12.5,10.0,10.0,10.0,10.0,10.0,40
102.0,21.875,21.875,12.5,15.625,12.5,9.375,9.375,9.375,9.375,9.375,32
103.0,23.333333333333332,25.0,13.333333333333334,18.333333333333332,13.333333333333334,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,8.333333333333332,60
104.0,21.052631578947366,21.052631578947366,15.789473684210526,18.421052631578945,15.789473684210526,10.526315789473683,10.526315789473683,10.526315789473683,10.526315789473683,13.157894736842104,38
105.0,19.047619047619047,19.047619047619047,14.285714285714285,16.666666666666664,14.285714285714285,9.523809523809524,9.523809523809524,9.523809523809524,9.523809523809524,9.523809523809524,42
107.0,20.37037037037037,20.37037037037037,12.962962962962962,16.666666666666664,14.814814814814813,9.25925925925926,9.25925925925926,9.25925925925926,9.25925925925926,9.25925925925926,54
108.0,21.875,25.0,18.75,21.875,18.75,12.5,12.5,12.5,12.5,12.5,32
109.0,19.444444444444446,16.666666666666664,13.88888888888889,13.88888888888889,13.88888888888889,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,36
110.0,22.727272727272727,25.0,15.909090909090908,18.181818181818183,5.660601289330752e+27,11.363636363636363,11.363636363636363,9.090909090909092,11.363636363636363,11.363636363636363,44
111.0,22.22222222222222,20.37037037037037,16.666666666666664,18.51851851851852,16.666666666666664,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,54
112.0,16.666666666666664,16.666666666666664,12.5,14.583333333333334,14.583333333333334,10.416666666666668,10.416666666666668,10.416666666666668,10.416666666666668,10.416666666666668,48
113.0,18.421052631578945,18.421052631578945,13.157894736842104,13.157894736842104,13.157894736842104,7.894736842105263,7.894736842105263,7.894736842105263,7.894736842105263,7.894736842105263,38
114.0,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,20.0,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,30
115.0,19.11764705882353,19.11764705882353,14.705882352941178,17.647058823529413,16.176470588235293,10.294117647058822,10.294117647058822,10.294117647058822,10.294117647058822,10.294117647058822,68
116.0,13.636363636363635,11.363636363636363,9.090909090909092,11.363636363636363,11.363636363636363,6.8181818181818175,6.8181818181818175,6.8181818181818175,6.8181818181818175,6.8181818181818175,44
117.0,17.24137931034483,18.96551724137931,15.517241379310345,17.24137931034483,15.517241379310345,10.344827586206897,10.344827586206897,10.344827586206897,10.344827586206897,12.068965517241379,58
118.0,25.0,25.0,16.666666666666664,19.444444444444446,16.666666666666664,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,36
119.0,20.588235294117645,20.588235294117645,16.176470588235293,17.647058823529413,17.647058823529413,10.294117647058822,10.294117647058822,10.294117647058822,10.294117647058822,10.294117647058822,68
