,Lasso ,Ridge ,Random Forest 
54,0.13496078901501357,0.1370430093622184,0.13580690523041486
55,0.1020839396105481,0.10229112786598889,0.10380531402615692
56,0.09883274148639497,0.09909434005870056,0.09890311757915785
57,0.09213092282236524,0.09270034259112571,0.09365723729612664
59,0.11615574939214306,0.11609882123488063,0.11822671325554963
60,0.11798534351258372,0.11789625760589269,0.1190501937165523
61,0.10500908680703588,0.10583264394097122,0.10801225839494161
62,0.13341721896491796,0.13583137092242523,0.1395251042476727
63,0.11847861632067747,0.11878660135261877,0.11855027156598366
64,0.09943005997797077,0.09992969934337288,0.09958306318387138
65,0.11638221830351073,0.11599994793303808,0.11416453988467876
66,0.09753662365538965,0.09727455988026515,0.0976085200786511
67,0.11865167348055478,0.11817185920001567,0.11951143847913104
68,0.10968134600025264,0.1090715867608272,0.1080171253670758
70,0.12257650509224295,0.12464138049890441,0.12711905110375007
71,0.14255724579104018,0.14409239633943796,0.14495831904295356
72,0.07645372181573626,0.07652425403905992,0.07769084002632616
73,0.07857857444645643,0.07892362091256543,0.07845904168503633
74,0.09961446151520248,0.09962874731084068,0.10137272310445397
75,0.12273800137942427,0.1238392456871361,0.12525670437289088
76,0.09375287213824905,0.09317855091808633,0.09531898646564935
77,0.10222150469019871,0.10291115677752546,0.10300588276169804
78,0.12291869549589708,0.12334468892615974,0.1243074996248865
80,0.08969349799415269,0.08983095932695415,0.09192462238952669
81,0.12444672077004619,0.1257741679486313,0.1280470763144949
82,0.09688876040358915,0.09788661870694125,0.09867262337051708
83,0.09170851766698122,0.09211862921251304,0.09504112410290791
84,0.09974196125072265,0.09952157692788506,0.10070460678829735
85,0.10708830824839137,0.10794963928256682,0.10602305853047687
86,0.07770261628560711,0.07926608035100674,0.0774111790280629
87,0.12221815066585236,0.12289907966735347,0.12600533223344784
88,0.10149976343513614,0.10249499091641077,0.10255365488684082
89,0.08869656697162752,0.08931854999450478,0.09156472647273996
90,0.0772348037224966,0.07727765026449239,0.07996194529074908
91,0.10256260655901074,0.10316914388109796,0.1037083942943833
92,0.09507656201222496,0.09439771952499905,0.09674034004578773
93,0.10752428256432116,0.1084314219977527,0.10975981881276838
94,0.11536538025933231,0.11868142829683401,0.11970617767073917
96,0.09191774589270646,0.09118662819484795,0.09373749307269322
97,0.12681544255343502,0.12936703478284234,0.133393378398357
98,0.06387809743724707,0.06417121206344926,0.06614608514287211
100,0.0950244292085351,0.09487885236662508,0.09659110350454728
102,0.08522282937145906,0.08451483905302935,0.08645092130745342
103,0.06966925250118604,0.06924196669092622,0.07120732756217492
104,0.11506046181040468,0.1154513216122492,0.115250068294691
105,0.09746375843845342,0.09749492282204729,0.0989740803805939
107,0.08800433031898856,0.08808258068262126,0.08846379509804851
108,0.11965138910892996,0.11946840405575036,0.1229084413735056
109,0.08917405140835585,0.0890347420006316,0.0897466679958285
110,0.10187535053744078,0.10331381724890326,0.10359810451980186
111,0.10788492481827197,0.10746912674960324,0.10995537272292143
112,0.09730914966705491,0.0973397752934954,0.09896277232583611
113,0.08438576111141394,0.08260831753648229,0.08315914410657693
114,0.12861935466295307,0.12859767402272113,0.1305396053006374
115,0.0985878522264981,0.09845545525411613,0.09951560758234788
116,0.07249299840734845,0.07332498125205836,0.07393255675795417
117,0.1089295197420995,0.10887316165897669,0.10922578522300833
118,0.109650442127972,0.10867080433765149,0.110010341630587
119,0.11116265198786009,0.11180605825423436,0.11305486180531704
120,0.10850415390776978,0.10862231107500253,0.10872640519278129
121,0.06118606452082363,0.060783306786051795,0.06059348342045816
122,0.0985611894689529,0.09960382258728412,0.09926893419901062
123,0.09098745888041483,0.09086159569162733,0.09174959149330385
125,0.12237447217972973,0.12185172165491939,0.12152402834411351
