,count,mean,std,min,25%,50%,75%,max
35,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
36,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
37,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
38,9438.0,2.2481457936003446,1.2624869596304995,0.0,1.2,2.1,3.1,8.7
39,9438.0,1.1784594193685156,0.890312801679385,0.0,0.4,1.2,1.8,4.7
40,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
41,9438.0,1.1784594193685156,0.890312801679385,0.0,0.4,1.2,1.8,4.7
42,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
43,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
44,9438.0,1.1784594193685156,0.890312801679385,0.0,0.4,1.2,1.8,4.7
45,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
46,9438.0,1.1784594193685156,0.890312801679385,0.0,0.4,1.2,1.8,4.7
48,9438.0,1.1784594193685156,0.890312801679385,0.0,0.4,1.2,1.8,4.7
49,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
50,9438.0,1.1784594193685156,0.890312801679385,0.0,0.4,1.2,1.8,4.7
51,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
52,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
53,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
54,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
55,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
56,9438.0,2.2481457936003446,1.2624869596304995,0.0,1.2,2.1,3.1,8.7
57,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
59,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
60,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
61,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
62,9438.0,2.2481457936003446,1.2624869596304995,0.0,1.2,2.1,3.1,8.7
63,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
64,9438.0,2.2481457936003446,1.2624869596304995,0.0,1.2,2.1,3.1,8.7
65,9438.0,2.2481457936003446,1.2624869596304995,0.0,1.2,2.1,3.1,8.7
66,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
67,9438.0,2.2481457936003446,1.2624869596304995,0.0,1.2,2.1,3.1,8.7
68,9438.0,2.2481457936003446,1.2624869596304995,0.0,1.2,2.1,3.1,8.7
70,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
71,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
72,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
73,9438.0,1.3463233735961024,0.8168054866741083,0.0,0.8,1.2,1.7,6.8
74,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
75,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
76,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
77,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
78,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
79,9763.0,1.7213612619071963,0.9876800593563357,0.0,0.9,1.7,2.5,6.2
80,9438.0,2.2481457936003446,1.2624869596304995,0.0,1.2,2.1,3.1,8.7
81,9438.0,2.2481457936003446,1.2624869596304995,0.0,1.2,2.1,3.1,8.7
82,9438.0,2.2481457936003446,1.2624869596304995,0.0,1.2,2.1,3.1,8.7
83,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
84,9438.0,2.2481457936003446,1.2624869596304995,0.0,1.2,2.1,3.1,8.7
85,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
86,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
