,time,sbi,station_id,tot,PrecpHour,UVI,td,HUMD,H_24R,PRES,TEMP,WDSE,comfort,WD_E,WD_ENE,WD_ESE,WD_N,WD_NE,WD_NNE,WD_NNW,WD_NW,WD_S,WD_SE,WD_SSE,WD_SSW,WD_SW,WD_W,WD_WNW,WD_WSW,wkdy_0,wkdy_1,wkdy_2,wkdy_3,wkdy_4,wkdy_5,wkdy_6,hrs_0,hrs_1,hrs_10,hrs_11,hrs_12,hrs_13,hrs_14,hrs_15,hrs_16,hrs_17,hrs_18,hrs_19,hrs_2,hrs_20,hrs_21,hrs_22,hrs_23,hrs_3,hrs_4,hrs_5,hrs_6,hrs_7,hrs_8,hrs_9,holiday,lat,lng,cat_hospital_500,cat_college_500,cat_train_500,cat_hospital_1000,cat_college_1000,cat_train_1000,sbi_1h,sbi_2h,sbi_3h,sbi_4h,sbi_5h,sbi_6h,sbi_7h,sbi_8h,sbi_9h,sbi_10h,sbi_11h,sbi_12h,sbi_1d,sbi_2d,sbi_3d,sbi_4d,sbi_5d,sbi_6d,sbi_7d,y_sbi,percet
22,2020-05-15 11:00:00,11,2,48,0.0,5,19.3,53.0,0.0,1001.4,32.4,0.1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,12.0,4.0,8.0,20.0,23.0,22.0,23.0,12.0,13.0,2.0,7.0,3.0,,,,,,,,14.0,22.92
23,2020-05-15 12:00:00,14,2,48,0.0,5,19.2,53.0,0.0,1001.2,32.0,0.7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,11.0,12.0,4.0,8.0,20.0,23.0,22.0,23.0,12.0,13.0,2.0,7.0,,,,,,,,11.0,29.17
24,2020-05-15 13:00:00,11,2,48,0.0,5,21.5,59.0,0.0,1001.0,31.0,1.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,14.0,11.0,12.0,4.0,8.0,20.0,23.0,22.0,23.0,12.0,13.0,2.0,8.0,,,,,,,10.0,22.92
25,2020-05-15 14:00:00,10,2,48,0.0,5,22.2,62.0,0.0,1000.9,30.0,0.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,11.0,14.0,11.0,12.0,4.0,8.0,20.0,23.0,22.0,23.0,12.0,13.0,6.0,,,,,,,3.0,20.83
26,2020-05-15 15:00:00,3,2,48,0.0,5,22.0,64.0,0.0,1000.6,30.8,0.6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,10.0,11.0,14.0,11.0,12.0,4.0,8.0,20.0,23.0,22.0,23.0,12.0,2.0,,,,,,,14.0,6.25
27,2020-05-15 16:00:00,14,2,48,0.0,5,23.3,67.0,0.0,1000.4,30.1,0.7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,3.0,10.0,11.0,14.0,11.0,12.0,4.0,8.0,20.0,23.0,22.0,23.0,4.0,,,,,,,29.0,29.17
28,2020-05-15 17:00:00,29,2,48,0.0,5,23.1,70.0,0.0,1000.9,29.4,0.4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,14.0,3.0,10.0,11.0,14.0,11.0,12.0,4.0,8.0,20.0,23.0,22.0,6.0,,,,,,,29.0,60.42
29,2020-05-15 18:00:00,29,2,48,0.0,0,23.7,73.0,0.0,1001.1,29.2,0.5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,29.0,14.0,3.0,10.0,11.0,14.0,11.0,12.0,4.0,8.0,20.0,23.0,21.0,,,,,,,28.0,60.42
30,2020-05-15 19:00:00,28,2,48,0.0,0,23.4,74.0,0.0,1001.6,28.4,0.1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,29.0,29.0,14.0,3.0,10.0,11.0,14.0,11.0,12.0,4.0,8.0,20.0,9.0,,,,,,,23.0,58.33
31,2020-05-15 20:00:00,23,2,48,0.0,0,24.1,75.0,0.0,1001.6,27.8,0.2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,28.0,29.0,29.0,14.0,3.0,10.0,11.0,14.0,11.0,12.0,4.0,8.0,6.0,,,,,,,25.0,47.92
