,model,name,sno,results,best_param,RMSE,time
3,Adaboost ,All_Feature,10,"[6.388716862801828, 5.424466155493343, 5.424466155493343]","{'learning_rate': 0.001, 'loss': 'square', 'n_estimators': 100}",5.264809567,74.33902621
4,XGBoost,All_Feature,10,"[6.857652260889169, 5.8821110514072785, 5.762785461710211]","{'booster': 'gblinear', 'eta': 7e-18, 'max_depth': 10, 'min_child_weight': 2, 'n_estimators': 190}",5.661742596,29.01719141
0,Lasso ,All_Feature,11,"[4.851664800756577, 4.8512814857145745, 4.917614383518029]",{'alpha': 0.0009000000000000002},4.674752087,4.174670458
1,Ridge ,All_Feature,11,"[4.759824203582189, 4.7686334353514575, 4.780868495104352]",{'alpha': 27.0},4.646786327,10.38966846
2,Random Forest ,All_Feature,11,"[4.936629341986958, 4.942347729525056, 4.959471924812668]","{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 70}",4.914461597,126.8005869
3,Adaboost ,All_Feature,11,"[6.033254413804678, 4.786798925844254, 4.791661618866007]","{'learning_rate': 0.007, 'loss': 'square', 'n_estimators': 20}",4.647796598,49.15303326
4,XGBoost,All_Feature,11,"[5.791156540092205, 4.946860006662867, 4.9338304179035815]","{'booster': 'gblinear', 'eta': 5e-19, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 195}",4.876227217,32.48791933
0,Lasso ,All_Feature,12,"[5.692804792903005, 5.691787691882613, 5.881671174078585]",{'alpha': 0.008},5.573219162,1.7676723
1,Ridge ,All_Feature,12,"[5.721657521596571, 5.730174297182014, 5.740331676204188]",{'alpha': 24.0},5.604573782,10.22235632
2,Random Forest ,All_Feature,12,"[5.904535630285346, 5.851647939912756, 5.851647939912756]","{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 40}",5.819284549,117.4417324
3,Adaboost ,All_Feature,12,"[7.024481131277024, 5.7458248736489, 5.742599658636842]","{'learning_rate': 0.001, 'loss': 'square', 'n_estimators': 45}",5.624832914,51.85962582
4,XGBoost,All_Feature,12,"[6.168373020623304, 5.896897405732312, 5.901172861403439]","{'booster': 'gblinear', 'eta': 6.999999999999999e-20, 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 125}",5.823382194,28.90578103
0,Lasso ,All_Feature,13,"[4.403048446818768, 4.404131764374805, 4.541290051175898]",{'alpha': 0.021},4.509244457,1.714413404
1,Ridge ,All_Feature,13,"[4.412614930205101, 4.417694973183268, 4.422444489551862]",{'alpha': 26.0},4.494641889,9.808946848
2,Random Forest ,All_Feature,13,"[4.622916888561781, 4.584024318044361, 4.584024318044361]","{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 180}",4.68886128,169.6834443
3,Adaboost ,All_Feature,13,"[6.653562588917241, 4.422410699086877, 4.423682515475752]","{'learning_rate': 4e-05, 'loss': 'square', 'n_estimators': 195}",4.537370197,103.2252579
4,XGBoost,All_Feature,13,"[5.401960018803764, 4.676222823781382, 4.711170305563557]","{'booster': 'gblinear', 'eta': 6.999999999999999e-16, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 195}",4.768965131,29.48429942
0,Lasso ,All_Feature,14,"[4.242010396881239, 4.242322944527699, 4.492240353169727]",{'alpha': 0.00027},4.271038702,1.680330515
1,Ridge ,All_Feature,14,"[4.149326145722994, 4.151335749530178, 4.14930736732101]",{'alpha': 0.99},4.214858214,9.708194971
