sno,lasso,ridge,rf,arima,ha_rmse,ma_rmse_12,ma_rmse_3,ma_rmse_6,tot
27,0.129922829,0.13130934,0.131427857,0.188546174,0.20964618813354843,0.20201270029189367,0.1658175500993901,0.17998646717464578,1.0
29,0.083434221,0.08382489,0.086617099,0.130811074,0.19198727860048273,0.1817103468171408,0.12145848517916237,0.1467222938622357,1.0
30,0.079427281,0.078940215,0.077720182,0.133394014,0.22244966858477425,0.20904850770940325,0.1342477274898397,0.17280971294743663,1.0
31,0.12480926,0.125220637,0.127100858,,0.19398384156809695,0.1890880220544939,0.15959093204623237,0.1687589168346873,1.0
32,0.115335225,0.11524053,0.116627208,0.179645559,0.22221582373186002,0.22830058500033004,0.16702397941803063,0.19912140299268735,1.0
33,0.084054945,0.084020395,0.084042555,0.137312881,0.18751031072081692,0.17908668527977803,0.1276502522213916,0.1499254091457414,1.0
34,0.107347914,0.107932718,0.111659349,0.161622912,0.20333087989078527,0.20037891327646734,0.14742661944940222,0.17377286631131675,1.0
35,0.131904629,0.132359209,0.134397359,0.19703668,0.22160525010238138,0.22327874399470227,0.18868107760569094,0.2107970320422076,1.0
36,0.109335109,0.112904849,0.114014962,0.161535618,0.21361516027027827,0.22532503125378137,0.1564396042910576,0.18725745850523504,1.0
37,0.113909526,0.114067987,0.115803164,0.177090274,0.22454224547960658,0.19857063801940597,0.16785930579322708,0.19278891611845367,1.0
38,0.133939752,0.13611549,0.139176492,0.200638188,0.20944192730441527,0.21151748551365998,0.18694120403809264,0.19707888004817056,1.0
39,0.111030625,0.111366259,0.112762602,0.164098449,0.20920885393647293,0.2198108317183061,0.14608532189205592,0.17920189283428373,1.0
40,0.12197112,0.122097173,0.122113859,0.181026521,0.23960620540806338,0.2670237685729692,0.1724931431993569,0.2140802441227851,1.0
41,0.102207072,0.102340441,0.103863387,0.157900414,0.1948227676759495,0.19765096946381008,0.14211727017619974,0.17132402248169204,1.0
42,0.116202578,0.118981294,0.121554899,0.177469228,0.20258456832850624,0.19843969168295453,0.15905253741672168,0.17920630640285592,1.0
43,0.075129549,0.075692066,0.07772742,0.117236598,0.18132790341183896,0.17504136181737878,0.10593422945076135,0.13657414131831486,1.0
44,0.089256267,0.089181249,0.089398527,0.143567937,0.20072943865409454,0.18338658512622297,0.128896016232557,0.15377455773596083,1.0
45,0.155878881,0.156427014,0.158508461,0.231794285,0.23392521275483222,0.23447362185848766,0.21330752516363577,0.22901606874499278,1.0
46,0.085942323,0.086601808,0.08502958,0.134885942,0.2073421188133011,0.2181284625706861,0.1283832928439404,0.1692196394737961,1.0
48,0.097986007,0.097909453,0.099571026,0.163995723,0.2190308456197354,0.21683502365509894,0.15745453311700802,0.19180920165911944,1.0
49,0.123899682,0.123375727,0.124347723,0.18443303,0.1950348025087916,0.18768075948127214,0.1639706083836259,0.17608627835578322,1.0
50,0.057400934,0.057872261,0.058821205,0.091078609,0.18162370681480547,0.1499182639268988,0.08824558118796727,0.11524711490404224,1.0
51,0.06115789,0.060862439,0.062828472,0.100802741,0.1883726116920159,0.1959464248537179,0.10444281938876278,0.14493400626265396,1.0
52,0.109313275,0.109545371,0.109976816,0.164096063,0.17818120770228843,0.16856647913572956,0.14055980487743638,0.15638369470491034,1.0
53,0.104993914,0.104940834,0.103586705,0.16016809,0.18717190570086423,0.1867229924492839,0.13865881171077346,0.16328406682695226,1.0
54,0.134969181,0.137064305,0.135853775,0.202533454,0.22764268555791428,0.25189714430610394,0.1890268866905895,0.21994669159338132,1.0
55,0.102061269,0.102351523,0.103739085,0.164994867,0.2171083095225522,0.22491106722155968,0.15265464054974037,0.18478882116808196,1.0
56,0.098833449,0.099091888,0.098907704,0.160592748,0.2111339178374895,0.22220795743727595,0.15762769647092062,0.18610186823275143,1.0
57,0.092161002,0.092733325,0.093641955,0.138424932,0.1941375821032251,0.15199519489578311,0.11916786263871362,0.13509102123607658,1.0
59,0.116175266,0.116119092,0.118254329,0.174715217,0.18160297694810523,0.17014149764641798,0.1533696813839589,0.16372860825675334,1.0
