,model,name,sno,results,best_param,RMSE,time
1,Ridge ,All_Feature,67,"[5.8153227844840245, 5.7816309877712, 5.843847831668672]",{'alpha': 10.0},5.7184029551872655,10.549762964248657
2,Random Forest ,All_Feature,67,"[5.78149470203951, 5.714095124006322, 5.714095124006322]","{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 20}",5.712855185913103,112.1602029800415
3,Adaboost ,All_Feature,67,"[6.838021062509098, 5.861690248862706, 5.86445464468696]","{'learning_rate': 5.999999999999999e-06, 'loss': 'square', 'n_estimators': 195}",5.747467166617315,103.70376133918762
4,XGBoost,All_Feature,67,"[6.373588001624291, 5.9075639238059425, 5.911828366191017]","{'booster': 'gblinear', 'eta': 1e-17, 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 140}",5.77330510519256,27.965235948562622
0,Lasso ,All_Feature,68,"[3.866452115541065, 3.866452115541065, 4.098260031334301]",{'alpha': 0.010000000000000002},3.9461207282183723,1.7573366165161133
1,Ridge ,All_Feature,68,"[3.800354659423233, 3.8003546592243436, 3.8024824254291443]",{'alpha': 9.9e-08},3.9455222174142945,10.586664199829102
2,Random Forest ,All_Feature,68,"[3.811218175130091, 3.9405393348880033, 3.940701441342868]","{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 100}",4.034990746646374,121.40479350090027
3,Adaboost ,All_Feature,68,"[4.814767971931625, 3.7980266670306766, 3.805589349554552]","{'learning_rate': 0.002, 'loss': 'square', 'n_estimators': 10}",3.951716799545306,43.216506481170654
4,XGBoost,All_Feature,68,"[4.135683972634396, 4.104309324609455, 4.0940729834975205]","{'booster': 'gblinear', 'eta': 5.000000000000001e-15, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 135}",4.1794374671733445,28.263976097106934
0,Lasso ,All_Feature,70,"[6.465744103370426, 6.470350013456305, 6.947891620627427]",{'alpha': 0.0039000000000000007},6.370613547166881,1.8091318607330322
1,Ridge ,All_Feature,70,"[6.561695405292549, 6.561695406303349, 6.551884744952785]",{'alpha': 9.9e-08},6.431641109481885,10.530805349349976
2,Random Forest ,All_Feature,70,"[6.934987324543049, 6.919485902570833, 6.884363677202659]","{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 50}",6.538659305873959,119.15972638130188
3,Adaboost ,All_Feature,70,"[8.621455319035874, 6.571907482875801, 6.574550416941744]","{'learning_rate': 0.01, 'loss': 'square', 'n_estimators': 90}",6.476055311062093,65.64454078674316
4,XGBoost,All_Feature,70,"[7.605896156435845, 6.852515093872889, 6.8476164752233455]","{'booster': 'gblinear', 'eta': 3.0000000000000002e-18, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 190}",6.552467326291395,28.94757318496704
0,Lasso ,All_Feature,71,"[4.3608360524224645, 4.3608360524224645, 4.540879021643939]",{'alpha': 0.010000000000000002},4.2850021850374365,1.8082001209259033
1,Ridge ,All_Feature,71,"[4.338798280344419, 4.338798280344419, 4.347433819089362]",{'alpha': 10.0},4.328960741992224,10.50170087814331
2,Random Forest ,All_Feature,71,"[4.276770876815597, 4.30978982412536, 4.308802181664797]","{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 190}",4.287345699527542,143.4804904460907
3,Adaboost ,All_Feature,71,"[4.600726405550539, 4.349948546316813, 4.357741942792794]","{'learning_rate': 0.009000000000000001, 'loss': 'square', 'n_estimators': 55}",4.360221554237697,51.33077359199524
4,XGBoost,All_Feature,71,"[4.984076931919892, 4.562829172726337, 4.559598457513593]","{'booster': 'gblinear', 'eta': 9.000000000000001e-15, 'max_depth': 50, 'min_child_weight': 4, 'n_estimators': 185}",4.4490953822136134,28.975611448287964
0,Lasso ,All_Feature,72,"[3.45232759455251, 3.43807598346774, 3.564826133327906]",{'alpha': 0.016},3.25271438386124,1.8203516006469727
1,Ridge ,All_Feature,72,"[3.405327728930158, 3.3924202754741937, 3.3874695388348632]",{'alpha': 34.0},3.2315252539230768,10.649526596069336
2,Random Forest ,All_Feature,72,"[3.5075119777949877, 3.4671579412288445, 3.4653257575639738]","{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 195}",3.2364765606755386,133.2837519645691
3,Adaboost ,All_Feature,72,"[4.455911276188057, 3.388667390780424, 3.3883181906819804]","{'learning_rate': 1e-05, 'loss': 'square', 'n_estimators': 170}",3.2177626015863545,103.48830008506775
4,XGBoost,All_Feature,72,"[4.150139710354332, 3.729238968668151, 3.7016099002936107]","{'booster': 'gblinear', 'eta': 3e-19, 'max_depth': 20, 'min_child_weight': 4, 'n_estimators': 190}",3.460194299439637,28.36161231994629
0,Lasso ,All_Feature,73,"[2.6001640485226103, 2.6103742503254357, 2.7946402047117447]",{'alpha': 0.014000000000000002},2.5110786547042303,1.7981574535369873
1,Ridge ,All_Feature,73,"[2.6485796604254284, 2.6470061687103326, 2.6545524743300404]",{'alpha': 8.0},2.5012227922317276,10.558773756027222
2,Random Forest ,All_Feature,73,"[2.551942972488975, 2.516497828707118, 2.5199901562851648]","{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 195}",2.440679635053556,148.04729318618774
3,Adaboost ,All_Feature,73,"[3.3307264398465115, 2.6515824746721535, 2.652148693321094]","{'learning_rate': 1e-05, 'loss': 'square', 'n_estimators': 155}",2.5073894016308924,95.09074783325195
