station,1,2,3,4,5
314.0,19.0,31.0,11.0,23.0,27.0
315.0,23.0,11.0,15.0,27.0,19.0
316.0,11.0,15.0,27.0,23.0,31.0
317.0,7.0,23.0,15.0,27.0,31.0
318.0,23.0,15.0,27.0,7.0,11.0
319.0,35.0,27.0,19.0,15.0,31.0
320.0,23.0,11.0,27.0,15.0,31.0
321.0,35.0,23.0,27.0,19.0,7.0
322.0,11.0,31.0,19.0,15.0,27.0
323.0,23.0,15.0,27.0,11.0,31.0
324.0,31.0,27.0,35.0,19.0,7.0
325.0,35.0,11.0,31.0,23.0,19.0
326.0,11.0,23.0,35.0,27.0,15.0
327.0,19.0,11.0,31.0,27.0,15.0
328.0,23.0,15.0,27.0,11.0,7.0
329.0,11.0,7.0,15.0,27.0,23.0
330.0,23.0,11.0,35.0,15.0,7.0
331.0,11.0,27.0,19.0,15.0,31.0
332.0,27.0,31.0,11.0,19.0,23.0
333.0,15.0,27.0,19.0,11.0,31.0
334.0,31.0,35.0,19.0,11.0,3.0
335.0,11.0,23.0,15.0,35.0,7.0
336.0,11.0,7.0,23.0,27.0,15.0
337.0,11.0,15.0,7.0,27.0,19.0
338.0,15.0,27.0,19.0,23.0,31.0
339.0,11.0,23.0,27.0,31.0,15.0
340.0,11.0,19.0,31.0,35.0,15.0
341.0,35.0,11.0,7.0,31.0,15.0
342.0,15.0,27.0,23.0,7.0,31.0
343.0,15.0,7.0,27.0,31.0,19.0
344.0,35.0,19.0,31.0,11.0,27.0
345.0,11.0,23.0,19.0,35.0,31.0
346.0,11.0,23.0,15.0,19.0,27.0
347.0,35.0,23.0,11.0,19.0,31.0
348.0,15.0,7.0,27.0,31.0,23.0
349.0,7.0,27.0,11.0,31.0,35.0
350.0,23.0,11.0,35.0,15.0,7.0
351.0,35.0,11.0,23.0,31.0,27.0
352.0,31.0,23.0,35.0,27.0,7.0
353.0,15.0,27.0,31.0,7.0,23.0
354.0,11.0,27.0,7.0,31.0,19.0
355.0,32.0,11.0,15.0,7.0,31.0
356.0,23.0,35.0,15.0,11.0,7.0
357.0,32.0,19.0,7.0,3.0,15.0
358.0,11.0,19.0,35.0,31.0,23.0
359.0,15.0,27.0,31.0,7.0,23.0
360.0,23.0,35.0,27.0,19.0,15.0
361.0,35.0,23.0,27.0,11.0,19.0
362.0,11.0,31.0,23.0,19.0,15.0
363.0,27.0,15.0,23.0,31.0,11.0
364.0,31.0,27.0,35.0,23.0,19.0
365.0,23.0,7.0,15.0,19.0,27.0
366.0,27.0,15.0,7.0,11.0,19.0
367.0,15.0,19.0,27.0,31.0,11.0
368.0,11.0,23.0,7.0,15.0,27.0
369.0,23.0,7.0,19.0,35.0,11.0
370.0,15.0,27.0,31.0,23.0,7.0
371.0,23.0,11.0,15.0,19.0,35.0
372.0,23.0,7.0,27.0,15.0,35.0
373.0,11.0,23.0,35.0,19.0,31.0
374.0,11.0,35.0,31.0,19.0,15.0
375.0,35.0,23.0,19.0,11.0,31.0
376.0,15.0,7.0,27.0,23.0,11.0
377.0,32.0,11.0,23.0,15.0,27.0
379.0,11.0,35.0,23.0,31.0,27.0
380.0,15.0,27.0,19.0,31.0,35.0
381.0,7.0,11.0,27.0,15.0,31.0
384.0,11.0,7.0,15.0,27.0,19.0
385.0,7.0,23.0,27.0,15.0,35.0
386.0,15.0,27.0,31.0,7.0,23.0
388.0,7.0,23.0,11.0,15.0,27.0
389.0,35.0,23.0,11.0,3.0,19.0
390.0,32.0,15.0,27.0,7.0,19.0
391.0,35.0,11.0,23.0,15.0,7.0
392.0,7.0,15.0,19.0,27.0,11.0
393.0,11.0,23.0,35.0,31.0,7.0
394.0,11.0,35.0,23.0,19.0,15.0
395.0,19.0,23.0,11.0,15.0,27.0
396.0,27.0,15.0,19.0,31.0,23.0
397.0,11.0,23.0,15.0,19.0,27.0
398.0,35.0,3.0,19.0,27.0,23.0
399.0,23.0,11.0,27.0,19.0,7.0
400.0,35.0,31.0,11.0,19.0,23.0
401.0,11.0,23.0,31.0,35.0,19.0
402.0,23.0,11.0,15.0,7.0,27.0
403.0,35.0,11.0,27.0,31.0,19.0
404.0,15.0,35.0,7.0,23.0,11.0
