,parameters,aic
144,"(3, 1, 0, 2, 1, 1)",37862.96389035386
145,"(3, 1, 0, 1, 1, 2)",37863.037165079004
146,"(2, 1, 1, 1, 0, 1)",37863.21695929317
147,"(3, 1, 1, 1, 1, 1)",37863.7217185676
148,"(2, 1, 1, 2, 1, 2)",37863.744507319156
149,"(3, 0, 0, 1, 0, 1)",37863.85276337283
150,"(3, 1, 1, 2, 1, 1)",37863.91908801194
151,"(3, 1, 1, 1, 1, 2)",37864.00043304752
152,"(3, 1, 0, 2, 1, 2)",37864.39952515293
153,"(3, 1, 1, 2, 1, 2)",37865.37183641159
154,"(2, 0, 0, 1, 0, 1)",37871.78108901348
155,"(2, 1, 2, 1, 0, 1)",37872.47892895955
156,"(4, 1, 0, 0, 1, 1)",37894.751404990624
157,"(2, 1, 1, 0, 1, 1)",37898.10221528297
158,"(2, 1, 0, 0, 1, 1)",37898.140163760974
159,"(3, 1, 0, 0, 1, 1)",37899.08751310982
160,"(3, 1, 1, 0, 1, 1)",37899.903573802985
161,"(4, 1, 0, 1, 0, 2)",38033.952112478
162,"(4, 1, 0, 2, 0, 1)",38035.061922996654
163,"(4, 1, 0, 2, 0, 2)",38035.849186402294
164,"(2, 1, 0, 1, 0, 2)",38037.86064773528
165,"(2, 1, 0, 2, 0, 1)",38039.15018331985
166,"(3, 1, 0, 1, 0, 2)",38039.35258151261
167,"(2, 1, 0, 2, 0, 2)",38039.41906682513
168,"(3, 1, 1, 1, 0, 2)",38040.26014333582
169,"(3, 1, 0, 2, 0, 1)",38040.71525935345
170,"(3, 1, 0, 2, 0, 2)",38040.848256816615
171,"(3, 1, 1, 2, 0, 2)",38041.34996411992
172,"(3, 1, 1, 2, 0, 1)",38041.64606448709
173,"(4, 1, 0, 1, 0, 1)",38072.12106650565
174,"(2, 1, 0, 1, 0, 1)",38075.84684120901
175,"(3, 1, 0, 1, 0, 1)",38076.90944654734
176,"(3, 1, 1, 1, 0, 1)",38077.714831560355
177,"(4, 1, 1, 2, 0, 0)",38578.452003239865
178,"(2, 1, 2, 2, 0, 0)",38585.99445635931
179,"(4, 1, 2, 2, 0, 0)",38592.74936808346
180,"(2, 1, 1, 2, 0, 0)",38594.34670621966
181,"(3, 1, 2, 2, 0, 0)",38594.941111276166
182,"(2, 0, 2, 2, 0, 0)",38611.19977536026
183,"(2, 0, 1, 2, 0, 0)",38712.632279027726
184,"(3, 0, 1, 2, 0, 0)",38713.33098232836
185,"(4, 0, 2, 2, 0, 0)",38714.13928526589
186,"(4, 0, 0, 2, 0, 0)",38715.042928732015
187,"(4, 0, 1, 2, 0, 0)",38715.046903423674
188,"(3, 0, 2, 2, 0, 0)",38715.213363232884
189,"(3, 0, 0, 2, 0, 0)",38717.64440939952
190,"(2, 0, 0, 2, 0, 0)",38735.721780069565
191,"(4, 0, 2, 2, 1, 0)",38746.70127322899
192,"(3, 1, 2, 2, 1, 0)",38751.18979240212
193,"(4, 1, 1, 1, 0, 0)",38759.22679282121
194,"(4, 0, 0, 2, 1, 0)",38760.17927688526
195,"(4, 1, 1, 2, 1, 0)",38760.1850279162
196,"(4, 0, 1, 2, 1, 0)",38760.640135752816
197,"(3, 0, 2, 2, 1, 0)",38761.8028899184
198,"(2, 1, 2, 1, 0, 0)",38763.236682193
199,"(3, 1, 1, 1, 0, 0)",38764.68957149241
200,"(2, 1, 1, 1, 0, 0)",38767.43706433402
201,"(4, 1, 2, 1, 0, 0)",38768.04166738936
202,"(3, 1, 2, 1, 0, 0)",38768.90251301146
203,"(3, 0, 1, 2, 1, 0)",38771.20906448542
204,"(2, 0, 1, 2, 1, 0)",38773.78278071549
205,"(2, 1, 2, 2, 1, 0)",38774.19172882775
206,"(2, 0, 2, 2, 1, 0)",38775.59642104985
207,"(3, 0, 0, 2, 1, 0)",38777.60762251498
208,"(4, 1, 2, 2, 1, 0)",38779.19925032473
209,"(2, 0, 0, 2, 1, 0)",38780.27845222552
210,"(2, 0, 2, 1, 0, 0)",38797.11641328997
211,"(4, 1, 1, 0, 0, 2)",38823.762020284485
212,"(3, 1, 2, 0, 0, 2)",38827.379016372346
213,"(2, 1, 2, 0, 0, 2)",38828.034112928784
214,"(3, 1, 1, 0, 0, 2)",38829.64855077022
215,"(2, 1, 1, 0, 0, 2)",38833.005165410774
216,"(4, 1, 2, 0, 0, 2)",38833.555535122774
217,"(4, 0, 2, 0, 0, 2)",38851.57186619112
218,"(3, 0, 1, 0, 0, 2)",38856.652305835916
219,"(4, 1, 0, 2, 0, 0)",38862.371727389
220,"(2, 0, 2, 0, 0, 2)",38867.824456753486
221,"(2, 1, 0, 2, 0, 0)",38883.03541714767
222,"(3, 1, 0, 2, 0, 0)",38884.54718696814
223,"(3, 1, 1, 2, 0, 0)",38887.02099391574
224,"(2, 0, 1, 1, 0, 0)",38957.235484518045
225,"(3, 0, 0, 1, 0, 0)",38957.39138703919
226,"(3, 0, 1, 1, 0, 0)",38959.18050500493
227,"(4, 0, 0, 1, 0, 0)",38959.37023304355
228,"(3, 0, 2, 1, 0, 0)",38960.44068999447
229,"(4, 0, 1, 1, 0, 0)",38960.684475101145
230,"(4, 0, 2, 1, 0, 0)",38962.93456725933
231,"(4, 1, 1, 0, 0, 1)",38980.43976069211
232,"(2, 0, 0, 1, 0, 0)",38980.61457325897
233,"(2, 1, 2, 0, 0, 1)",38981.78948393018
234,"(3, 1, 1, 0, 0, 1)",38982.37532551044
235,"(2, 1, 1, 0, 0, 1)",38983.65882610857
236,"(4, 1, 2, 0, 0, 1)",38986.32016642538
237,"(3, 1, 2, 0, 0, 1)",38987.55894557038
238,"(4, 0, 2, 0, 0, 1)",38989.59978333106
239,"(3, 0, 1, 0, 0, 1)",38999.937040669756
240,"(4, 1, 0, 2, 1, 0)",39002.74890954933
241,"(4, 0, 1, 0, 0, 1)",39007.20843004259
242,"(2, 1, 0, 2, 1, 0)",39007.34851932405
243,"(2, 1, 1, 2, 1, 0)",39007.446817668475
244,"(3, 1, 0, 2, 1, 0)",39008.66155670491
245,"(3, 1, 1, 2, 1, 0)",39009.11302869761
246,"(2, 0, 2, 0, 0, 1)",39050.13609439031
247,"(3, 0, 0, 0, 0, 2)",39053.527430313516
248,"(2, 0, 1, 0, 0, 2)",39054.65762202469
249,"(4, 0, 0, 0, 0, 2)",39055.354320410464
250,"(4, 0, 1, 0, 0, 2)",39057.086720311476
251,"(3, 0, 2, 0, 0, 2)",39058.60516594865
252,"(4, 1, 0, 1, 0, 0)",39072.522325096594
253,"(2, 0, 0, 0, 0, 2)",39085.25531748817
254,"(3, 1, 0, 1, 0, 0)",39098.32451020488
255,"(2, 1, 0, 1, 0, 0)",39101.30813494382
256,"(4, 1, 0, 0, 0, 2)",39142.47687113138
257,"(3, 1, 0, 0, 0, 2)",39176.36998772415
258,"(2, 1, 0, 0, 0, 2)",39180.35253276497
259,"(4, 0, 2, 1, 1, 0)",39194.39098962574
260,"(2, 0, 2, 1, 1, 0)",39217.09598555744
261,"(4, 1, 2, 1, 1, 0)",39225.71859919712
262,"(3, 1, 2, 1, 1, 0)",39226.74561320466
263,"(4, 0, 0, 0, 0, 1)",39239.76610590435
264,"(3, 0, 0, 0, 0, 1)",39241.4410118754
265,"(4, 1, 1, 1, 1, 0)",39243.36569325687
266,"(4, 0, 0, 1, 1, 0)",39243.84398298036
267,"(3, 0, 2, 1, 1, 0)",39245.26504904833
268,"(4, 0, 1, 1, 1, 0)",39245.719465817594
269,"(2, 0, 1, 0, 0, 1)",39246.36285600291
270,"(3, 0, 2, 0, 0, 1)",39248.48864818538
271,"(3, 0, 1, 1, 1, 0)",39253.60519018289
272,"(2, 1, 2, 1, 1, 0)",39255.23934549307
273,"(2, 0, 1, 1, 1, 0)",39255.92931694472
274,"(3, 0, 0, 1, 1, 0)",39266.19550088963
275,"(2, 0, 0, 0, 0, 1)",39274.4094159029
276,"(2, 0, 0, 1, 1, 0)",39275.172213609636
277,"(4, 1, 0, 0, 0, 1)",39314.31255190556
278,"(3, 1, 0, 0, 0, 1)",39346.39874985804
279,"(2, 1, 0, 0, 0, 1)",39358.2744293935
280,"(4, 1, 2, 0, 0, 0)",39472.685557626515
281,"(3, 1, 2, 0, 0, 0)",39476.36407457856
282,"(4, 0, 2, 0, 0, 0)",39487.51234747547
283,"(4, 1, 1, 0, 0, 0)",39488.520350307896
284,"(2, 1, 2, 0, 0, 0)",39492.64888784709
285,"(3, 1, 1, 0, 0, 0)",39493.148788076775
286,"(2, 1, 1, 0, 0, 0)",39493.639776841366
287,"(4, 1, 0, 1, 1, 0)",39498.45315047002
