,sbi,PrecpHour,UVI,td,HUMD,H_24R,PRES,TEMP,WDSE,comfort,WD_E,WD_ENE,WD_ESE,WD_N,WD_NE,WD_NNE,WD_NNW,WD_NW,WD_S,WD_SE,WD_SSE,WD_SSW,WD_SW,WD_W,WD_WNW,WD_WSW,wkdy_0,wkdy_1,wkdy_2,wkdy_3,wkdy_4,wkdy_5,wkdy_6,hrs_0,hrs_1,hrs_10,hrs_11,hrs_12,hrs_13,hrs_14,hrs_15,hrs_16,hrs_17,hrs_18,hrs_19,hrs_2,hrs_20,hrs_21,hrs_22,hrs_23,hrs_3,hrs_4,hrs_5,hrs_6,hrs_7,hrs_8,hrs_9,holiday,sbi_1h,sbi_2h,sbi_3h,sbi_4h,sbi_5h,sbi_6h,sbi_7h,sbi_8h,sbi_9h,sbi_10h,sbi_11h,sbi_12h,sbi_1d,sbi_2d,sbi_3d,sbi_4d,sbi_5d,sbi_6d,sbi_7d
39,0.7933573855128063,0.38915780268227307,0.2682661889463925,0.019820945456586206,0.009377244595593076,0.031821197265019696,0.003433041091925749,0.009281069039991898,-0.0,-0.0,-0.07834262259450096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.07580051795258477,-0.0,0.0,-0.0,0.0019684711460155706,0.0,-0.0,-0.0,0.6971975303065967,-0.02324950780315772,0.32340612613506964,0.7861533461618885,0.0,-0.30508174946178684,-1.1573263810599252,0.12423141921905283,-1.2899716958835,-0.0,-0.0,-0.0,-0.023386175305539908,0.0,0.0,-0.0,0.24739927782690876,-0.0,0.20359203164243547,-0.0,-0.7109351292816011,1.0202636126838973,0.0,-0.05452818115646252,0.013115388743484694,0.0028833363603704173,-0.013090997048627602,-3.229528771822949e-05,0.00595958905819251,-0.0069215445246544475,-0.011968335915723155,-0.002549825426176917,-0.0033017621392455354,-0.0029871332869409986,-0.0067993507239079935,0.01436680371207981,0.002710966344848338,0.0050909734745032175,-0.004957825707305724,0.0004960544462307639,-0.003793619504408544,-0.00037800681508652335
44,0.8777205033914258,0.0,0.0009361290925295789,-0.036349419482115425,0.011075406853376242,0.000478877955052522,-0.003871014149790911,0.022270033438378422,-0.12456765100597739,-0.01074147723393981,-0.17561266416267063,-0.07516656848038382,-0.004505458651507728,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.04343992910892327,0.0,0.0,0.2418605899238517,0.0,0.295603607500437,-0.14195632825498075,-0.0,-0.05808173206533334,0.0,0.0,0.0,0.16360750578677058,0.11379270343976056,0.0,0.14103222581983335,0.9006866682951136,0.7247749490905386,0.17162889285378852,0.0,-0.029722431378342126,-2.937721672523558,-3.225392672675695,-1.0918401038755767,-0.4199139551567471,-0.0,-0.526205176123918,-0.8281263592412175,0.0,0.0,0.0,-0.0,-0.7752123488098867,0.1199214649452767,2.573928196284208,0.7197087562635772,-0.0,-0.0,-0.05631423727281599,0.0010000425321074918,-0.008941260496519816,-0.001166008520281505,-0.0009437581334355716,-0.0008960077620260619,-0.0029378984999212073,-0.0016079055845178588,-0.006213302238415701,-0.0018449683536609545,-0.000988797925774765,-0.004117457777118249,0.03013252246886147,0.0061570409810735565,0.0007937475944497975,-0.004519275749034658,-0.003643277114340771,0.0022336171179682105,0.0054867459193175625
55,0.8607458660869146,0.7779965077973735,0.37066729020502803,-0.04162547910570599,0.034147470450536684,-0.05813549285624968,-0.002250951774823512,0.002075504105167281,-0.25770455877890786,-0.015440701368610744,-0.027431451763840577,-0.5790579919135949,-0.4583159108295515,-0.28804530968848535,-0.7222839915611726,-0.0,-0.1336268098952617,-0.0,0.0,-4.483874754900695,0.0,0.0,0.0,0.2510612800935218,0.2240875597575174,0.6265755174490102,0.021715787590797026,-0.03981399857258671,0.0,-0.02598202915935308,0.0,-0.0819242046394275,0.09139892687238262,0.0,-0.6346757178158476,-0.03619595169510268,-1.507838376279257,-0.901354567430141,1.0266303587718668,0.0796365257800188,-0.9454080801791626,-0.8709375309385328,-4.863664688334478,-1.8752493026300563,-1.0790428971298034,-1.4949292512193644,-3.5839825690180223,-2.4049727550593842,0.9430727854737712,1.3830764661346753,-0.715054583712191,0.7397620462157685,0.548453714303542,-0.5895815665595274,3.3903777735605614,4.976553609790378,-0.2505638242557124,-0.0,-0.061323819211493706,0.018795633839683776,-0.0018053146566636995,-0.00025529341469803326,0.0015072222516311112,-0.0012163500604605306,-0.001449282744511518,-0.006870789479691288,-0.002888133163059359,-0.0015542772328146718,0.0027458015435464548,0.0028552932653817574,0.01089584497004266,0.0007566062702764445,-0.011240434927327025,0.009637529220396464,-0.0008480120728635044,0.0034515661629778037,-0.0034110101877619613
66,0.814574863499907,-0.22483095336460823,-0.3258462210669149,-0.06864740956621403,-0.006116092644704765,0.01849659666314719,0.004841737754083225,0.041136934735484125,-0.056900749285431845,0.12327838664758826,0.0,-0.03297784981323035,-0.0,-0.04351058898238731,-0.0,-0.0,0.34815030059712293,0.47454096684858366,0.0,0.0,-0.4318309321340429,0.24893359224474795,0.23616543717574895,-0.0,-0.28517437488155806,0.0,-0.09796571385399601,0.0,-0.11847098619775401,-0.16814598054301746,-0.17427985235931295,-0.0,0.4708851886903997,0.8217552357380585,0.8924554462745179,0.0,-4.89972725681199,2.0315950078480824,2.750976491879028,0.0,-2.680157635472837,-4.076572186769831,-0.9599801611512971,0.07475897546618201,0.4535026319612585,0.005573100989790807,-0.36161548529872795,-0.29832635063364304,-0.37859094823449785,-0.0,-0.30469337543324165,-0.7523580450824225,-0.6788447875384849,-2.4131820543039377,0.7431795509253022,3.3951093004331336,2.1186745538538103,-0.0,-0.03981797196026168,0.019506614034200415,0.011743722151838875,-0.0005286921643724667,-0.0027772324146692834,-0.00524913878314749,0.0007886781323781654,-0.004697134033869111,0.00040387474609855184,0.005219202260365858,-0.0018658074896602307,-0.005040628945965223,0.009223179516459113,0.014612561007758776,-0.002142860903253917,0.004247318892088186,-0.006012749097440133,0.004176831880845659,-0.00010457185138406066
205,0.8578264343359172,0.0,-0.17961463379390166,0.031121738504949936,-0.005692106864450901,0.01893941150156926,-0.011327311306086347,-0.008672237761754032,0.04282209884149848,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0433134635944445,0.0,-0.3663890842013822,0.0,-1.1485210375085544,0.3892061740249418,0.6218911628740481,0.0013448798506326954,0.0,-0.0,-0.0,-0.0,-0.8399533628799801,-0.0,-0.0,0.0,-0.0571663602670853,0.005734255532412977,0.005629790095927163,-0.002111448202732263,-0.0073388212656029335,-0.00923268515825244,-0.0006002274319278576,-0.00461046709512211,-0.00231286462145214,-0.0013895652060259315,0.0002265024087477593,-0.0046864287816356575,0.01615569572886857,0.002646855041529392,-0.002626785741162169,0.0020278700180174684,-0.0016122166741435243,0.009086545353853772,0.0032634153951826977
77,0.7888258431142227,-0.0,-0.2387043682702095,-0.012696874212944999,-0.00044277926123891784,0.0013640114318455555,-0.01549080324690925,0.0013418370385298525,0.05508611015285108,0.05471049108204027,0.055465373679229296,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.05180241021990202,0.0,0.0,-1.4222543058307389,-1.0936543836043562,0.42820063528925206,0.18810078105921288,-0.0,-0.22221211260942905,-1.6518706767640348,0.0,2.181287121383403,-0.0,0.0,-2.545980510511569,-1.0462187167816206,0.3730404963886676,0.7998982134825928,0.0,-0.11072972457415922,-0.0,-0.0,0.48769885128381046,1.081397654638029,0.12986824771838137,-0.0,-0.056342619759400206,0.04032214560540523,0.029547620891618723,0.0,-0.005348893897887537,0.0,0.005153782503369648,0.0039004414102671503,-0.0025853727463597083,-0.006310994394591453,-0.0036984743112198856,0.0117940642863805,0.0013131231058043093,-0.007442683073192755,-0.013762030968129077,-0.002550355152749402,0.0023856118157965624,0.01139283879844153,-0.01620309757241636
83,0.8563476550027724,0.8108488278764581,-0.31683126213546997,0.15861590174847287,0.014805548963652793,0.03281578989441068,-0.12236056419543223,-0.06960155764169314,0.4483050146512111,-0.16130111235635833,-0.8447242840959748,-0.2069816760382019,-0.0,-1.3030594460298401,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.4478586788653462,0.20842110810714265,-0.0,-0.0,-0.19934909223582248,-0.6568730603623933,-0.6255748234966229,-0.24758313232838275,0.7136067664560645,0.7048816573498076,-1.7592221105196149,-1.695847561361701,-0.0,-0.0,3.2700407205567887,8.338748138495527,4.444013308655542,2.6489674739467772,-1.10181659375549,-4.928084592636932,-3.2737677874511513,0.4969505746862183,3.8500669726094894,-0.0,-3.446042174192594,-4.322539676208593,-2.1492012094576856,12.004963845179724,4.090316284403227,6.442134044178339,4.110954769264219,-9.844998028983829,-7.781179465797925,-0.0,0.0,-0.04600066146354302,-0.00474679644555538,-0.009531313399426854,-0.005044006595190728,0.0039779559168828,0.001399228025861006,-0.0026680653671539286,-0.0023088006697581723,-0.00532353022797012,-0.0027743478893018226,0.002033821758895031,0.001522142270451943,0.022577060647678168,-0.0038053927528797398,0.009728424820584374,-0.003916156102135256,-0.008430650787438593,3.7185703864354493e-06,0.0013288610049661197
90,0.901186261092171,0.0,-0.27774847026722543,0.09450084866501791,-0.008680254767653557,-0.004847604426264333,-0.017704863765464443,0.0038903478208669896,0.1077100506706552,0.08433908073005501,-0.0,0.18836890223098707,0.0,0.13163578452489108,-0.0,0.2853027295360906,0.0,-0.0,-0.1807052920920612,-0.08475960049809557,-0.0,0.0,0.07939661579773902,0.10027858002087417,-0.03602189129511474,-0.12234774966285446,-0.06943894082753205,-0.0,0.0,-0.04076961521882548,-0.12423219588183154,0.07153448913574828,0.18589465551412412,0.0,-0.3180620794652003,0.0,0.0,-0.0,-0.3001261455595685,-0.0,0.0,1.6317099070758403,2.7225464649105775,1.546400643603991,-0.3724171565178314,0.0,-1.4576505574423315,1.46170900472172,2.061148108932818,1.3948409532761736,0.1960919115626643,-1.7538077165940784,0.6381100183388067,-0.3205238918599217,-1.9746951223562728,-1.8533822720411623,-0.0,0.0,-0.04797028500111018,0.006036612413924303,-0.0012001177255662055,-0.0004624914796427611,-0.0039043895882158396,-0.00375003624455532,-0.001663438776227403,5.706505975062421e-05,0.00038298433949804746,0.0068522068523035615,0.0020853652046733946,0.0034037219466125737,0.021916922815453963,0.0072333885778880155,-0.0014849677274939533,-0.0009114701959585016,0.0017626376388391075,-0.0033407975002091527,-0.0
100,0.8786871409954041,0.09361485367893035,0.07921515116468329,-0.06271122523194442,0.0008353319046120954,0.03592581099934212,-0.020804898785448667,0.006012178156034577,0.07153964244732648,-0.10279042888638726,-0.0,-0.0,0.0,0.009189531582458617,0.0,-0.0,0.11974765469314201,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1359630239182304,0.0,-0.19768495254770568,-0.11437555064932278,-0.04887620406889889,0.0,0.1264143160419821,0.2984100773360828,0.0,0.0,0.47756783202663144,1.3931952781348471,1.804070356338932,0.5059274477834768,0.0,-0.9159171248571352,-1.8822013588383886,0.01931088991460892,0.8112130085748712,0.0,-0.8024969929312953,-0.5274429315217365,-0.0,-0.0,0.11592330015122718,0.0,-0.11509197283253121,-0.9525103543876413,-0.0,-0.0008663257558033494,0.0,0.0,-0.02676644863951583,0.00748021659409423,-0.004241260320602681,0.00950358582914601,-0.001685155768407611,-0.00013406194321538719,0.0035661129427192206,0.0,-0.0013197581945589934,-2.9184149055624323e-05,0.0,0.00869409250057808,0.028009640021591713,0.008486707436723374,-0.004321927106420693,0.007438637551128193,0.010053057476656184,-0.001096357318540395,0.0072349537490500005
111,0.7810177708395526,1.663469516105844,-0.20553958805268766,-0.04634558446219052,0.038789666590242126,0.05788363409087056,-0.053539246208527,-0.03969327926012679,0.3979445149892011,-0.044040181638863855,-0.27816339125297845,0.0,-0.0,-0.8078410592274033,-0.2864352336972616,0.0,0.0,0.5363050496186987,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.005873248632415558,-0.0,-0.0,-0.0,-0.10921602506039237,-0.0,-0.0,-0.0,0.2786655062001462,-1.2812241640691524,-1.3016085093205814,0.0,3.3471735007140735,-0.0,-0.049343147339863384,-0.0,4.387247948952862,4.083782747029838,-0.27135450357095997,-1.9467166001652207,-1.9282230494130204,-0.0,-4.476881436475248,-4.962429879259227,0.0,-0.0,10.41404105157079,9.125569731887712,2.549690258840468,-6.62618322188161,-4.5827395202791354,0.0,0.0,0.0,-0.0441364637680562,0.015215037851078356,0.007610204291578253,0.011302164947228426,0.0,-0.002183757753755893,-0.0016808311201168772,-0.0007164023174426809,0.009715356614404203,0.016876385767796993,-0.0003844179081944441,-0.008253149377291177,0.011210744031997136,-0.000320347587027119,0.004350749736686471,-0.008135598323683527,-0.0003006595094125822,0.001188688785457499,0.0009767320819884498
